0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,30.83,0.0,2.0,1.0,13.0,8.0,1.25,1,1,1,0,0,00202,0,1
1,58.67,4.46,2.0,1.0,11.0,4.0,3.04,1,1,6,0,0,00043,560,1
1,24.50,0.5,2.0,1.0,11.0,4.0,1.5,1,0,0,0,0,00280,824,1
0,27.83,1.54,2.0,1.0,13.0,8.0,3.75,1,1,5,1,0,00100,3,1
0,20.17,5.625,2.0,1.0,13.0,8.0,1.71,1,0,0,0,0,00120,0,1
0,32.08,4.0,2.0,1.0,10.0,8.0,2.5,1,0,0,1,0,00360,0,1
0,33.17,1.04,2.0,1.0,12.0,4.0,6.5,1,0,0,1,0,00164,31285,1
1,22.92,11.585,2.0,1.0,3.0,8.0,0.04,1,0,0,0,0,00080,1349,1
0,54.42,0.5,3.0,3.0,9.0,4.0,3.96,1,0,0,0,0,00180,314,1
0,42.50,4.915,3.0,3.0,13.0,8.0,3.165,1,0,0,1,0,00052,1442,1
0,22.08,0.83,2.0,1.0,2.0,4.0,2.165,0,0,0,1,0,00128,0,1
0,29.92,1.835,2.0,1.0,2.0,4.0,4.335,1,0,0,0,0,00260,200,1
1,38.25,6.0,2.0,1.0,9.0,8.0,1.0,1,0,0,1,0,00000,0,1
0,48.08,6.04,2.0,1.0,9.0,8.0,0.04,0,0,0,0,0,00000,2690,1
1,45.83,10.5,2.0,1.0,11.0,8.0,5.0,1,1,7,1,0,00000,0,1
0,36.67,4.415,3.0,3.0,9.0,8.0,0.25,1,1,10,1,0,00320,0,1
0,28.25,0.875,2.0,1.0,10.0,8.0,0.96,1,1,3,1,0,00396,0,1
1,23.25,5.875,2.0,1.0,11.0,8.0,3.17,1,1,10,0,0,00120,245,1
0,21.83,0.25,2.0,1.0,4.0,4.0,0.665,1,0,0,1,0,00000,0,1
1,19.17,8.585,2.0,1.0,3.0,4.0,0.75,1,1,7,0,0,00096,0,1
0,25.00,11.25,2.0,1.0,2.0,8.0,2.5,1,1,17,0,0,00200,1208,1
0,23.25,1.0,2.0,1.0,2.0,8.0,0.835,1,0,0,0,0,00300,0,1
1,47.75,8.0,2.0,1.0,2.0,8.0,7.875,1,1,6,1,0,00000,1260,1
1,27.42,14.5,2.0,1.0,14.0,4.0,3.085,1,1,1,0,0,00120,11,1
1,41.17,6.5,2.0,1.0,11.0,8.0,0.5,1,1,3,1,0,00145,0,1
1,15.83,0.585,2.0,1.0,2.0,4.0,1.5,1,1,2,0,0,00100,0,1
1,47.00,13.0,2.0,1.0,7.0,1.0,5.165,1,1,9,1,0,00000,0,1
0,56.58,18.5,2.0,1.0,4.0,1.0,15.0,1,1,17,1,0,00000,0,1
0,57.42,8.5,2.0,1.0,5.0,4.0,7.0,1,1,3,0,0,00000,0,1
0,42.08,1.04,2.0,1.0,13.0,8.0,5.0,1,1,6,1,0,00500,10000,1
0,29.25,14.79,2.0,1.0,1.0,8.0,5.04,1,1,5,1,0,00168,0,1
0,42.00,9.79,2.0,1.0,14.0,4.0,7.96,1,1,8,0,0,00000,0,1
0,49.50,7.585,2.0,1.0,7.0,1.0,7.585,1,1,15,1,0,00000,5000,1
1,36.75,5.125,2.0,1.0,5.0,8.0,5.0,1,0,0,1,0,00000,4000,1
1,22.58,10.75,2.0,1.0,11.0,8.0,0.415,1,1,5,1,0,00000,560,1
0,27.83,1.5,2.0,1.0,13.0,8.0,2.0,1,1,11,1,0,00434,35,1
0,27.25,1.585,2.0,1.0,3.0,4.0,1.835,1,1,12,1,0,00583,713,1
1,23.00,11.75,2.0,1.0,14.0,4.0,0.5,1,1,2,1,0,00300,551,1
0,27.75,0.585,3.0,3.0,3.0,8.0,0.25,1,1,2,0,0,00260,500,1
0,54.58,9.415,2.0,1.0,6.0,3.0,14.415,1,1,11,1,0,00030,300,1
0,34.17,9.17,2.0,1.0,2.0,8.0,4.5,1,1,12,1,0,00000,221,1
0,28.92,15.0,2.0,1.0,2.0,4.0,5.335,1,1,11,0,0,00000,2283,1
0,29.67,1.415,2.0,1.0,13.0,4.0,0.75,1,1,1,0,0,00240,100,1
0,39.58,13.915,2.0,1.0,13.0,8.0,8.625,1,1,6,1,0,00070,0,1
0,56.42,28.0,3.0,3.0,2.0,8.0,28.5,1,1,40,0,0,00000,15,1
0,54.33,6.75,2.0,1.0,2.0,4.0,2.625,1,1,11,1,0,00000,284,1
1,41.00,2.04,3.0,3.0,11.0,4.0,0.125,1,1,23,1,0,00455,1236,1
0,31.92,4.46,2.0,1.0,3.0,4.0,6.04,1,1,3,0,0,00311,300,1
0,41.50,1.54,2.0,1.0,7.0,1.0,3.5,0,0,0,0,0,00216,0,1
0,23.92,0.665,2.0,1.0,2.0,8.0,0.165,0,0,0,0,0,00100,0,1
1,25.75,0.5,2.0,1.0,2.0,4.0,0.875,1,0,0,1,0,00491,0,1
0,26.00,1.0,2.0,1.0,11.0,8.0,1.75,1,0,0,1,0,00280,0,1
0,37.42,2.04,2.0,1.0,13.0,8.0,0.04,1,0,0,1,0,00400,5800,1
0,34.92,2.5,2.0,1.0,13.0,8.0,0.0,1,0,0,1,0,00239,200,1
0,34.25,3.0,2.0,1.0,3.0,4.0,7.415,1,0,0,1,0,00000,0,1
0,23.33,11.625,3.0,3.0,13.0,8.0,0.835,1,0,0,1,0,00160,300,1
0,23.17,0.0,2.0,1.0,3.0,8.0,0.085,1,0,0,0,0,00000,0,1
0,44.33,0.5,2.0,1.0,7.0,4.0,5.0,1,0,0,1,0,00320,0,1
0,35.17,4.5,2.0,1.0,14.0,4.0,5.75,0,0,0,1,0,00711,0,1
0,43.25,3.0,2.0,1.0,11.0,4.0,6.0,1,1,11,0,0,00080,0,1
0,56.75,12.25,2.0,1.0,10.0,8.0,1.25,1,1,4,1,0,00200,0,1
0,31.67,16.165,2.0,1.0,4.0,8.0,3.0,1,1,9,0,0,00250,730,1
1,23.42,0.79,3.0,3.0,11.0,8.0,1.5,1,1,2,1,0,00080,400,1
1,20.42,0.835,2.0,1.0,11.0,8.0,1.585,1,1,1,0,0,00000,0,1
0,26.67,4.25,2.0,1.0,3.0,8.0,4.29,1,1,1,1,0,00120,0,1
0,34.17,1.54,2.0,1.0,3.0,8.0,1.54,1,1,1,1,0,00520,50000,1
1,36.00,1.0,2.0,1.0,2.0,8.0,2.0,1,1,11,0,0,00000,456,1
0,25.50,0.375,2.0,1.0,10.0,8.0,0.25,1,1,3,0,0,00260,15108,1
0,19.42,6.5,2.0,1.0,13.0,4.0,1.46,1,1,7,0,0,00080,2954,1
0,35.17,25.125,2.0,1.0,14.0,4.0,1.625,1,1,1,1,0,00515,500,1
0,32.33,7.5,2.0,1.0,5.0,1.0,1.585,1,0,0,1,0,00420,0,0
0,34.83,4.0,2.0,1.0,4.0,1.0,12.5,1,0,0,1,0,?,0,0
1,38.58,5.0,2.0,1.0,3.0,8.0,13.5,1,0,0,1,0,00980,0,0
0,44.25,0.5,2.0,1.0,10.0,8.0,10.75,1,0,0,0,0,00400,0,0
0,44.83,7.0,3.0,3.0,2.0,8.0,1.625,0,0,0,0,0,00160,2,0
0,20.67,5.29,2.0,1.0,11.0,8.0,0.375,1,1,1,0,0,00160,0,0
0,34.08,6.5,2.0,1.0,1.0,8.0,0.125,1,0,0,1,0,00443,0,0
1,19.17,0.585,3.0,3.0,1.0,8.0,0.585,1,0,0,1,0,00160,0,0
0,21.67,1.165,3.0,3.0,9.0,8.0,2.5,1,1,1,0,0,00180,20,0
0,21.50,9.75,2.0,1.0,2.0,8.0,0.25,1,0,0,0,0,00140,0,0
0,49.58,19.0,2.0,1.0,6.0,3.0,0.0,1,1,1,0,0,00094,0,0
1,27.67,1.5,2.0,1.0,10.0,8.0,2.0,1,0,0,0,0,00368,0,0
0,39.83,0.5,2.0,1.0,10.0,8.0,0.25,1,0,0,0,0,00288,0,0
1,?,3.5,2.0,1.0,4.0,8.0,3.0,1,0,0,1,0,00300,0,0
0,27.25,0.625,2.0,1.0,1.0,8.0,0.455,1,0,0,1,0,00200,0,0
0,37.17,4.0,2.0,1.0,2.0,1.0,5.0,1,0,0,1,0,00280,0,0
0,?,0.375,2.0,1.0,4.0,8.0,0.875,1,0,0,1,0,00928,0,0
0,25.67,2.21,3.0,3.0,1.0,8.0,4.0,1,0,0,0,0,00188,0,0
0,34.00,4.5,2.0,1.0,1.0,8.0,1.0,1,0,0,1,0,00240,0,0
1,49.00,1.5,2.0,1.0,8.0,5.0,0.0,1,0,0,1,0,00100,27,0
0,62.50,12.75,3.0,3.0,2.0,4.0,5.0,1,0,0,0,0,00112,0,0
0,31.42,15.5,2.0,1.0,2.0,8.0,0.5,1,0,0,0,0,00120,0,0
0,?,5.0,3.0,3.0,1.0,8.0,8.5,1,0,0,0,0,00000,0,0
0,52.33,1.375,3.0,3.0,2.0,4.0,9.46,1,0,0,1,0,00200,100,0
0,28.75,1.5,3.0,3.0,2.0,8.0,1.5,1,0,0,1,0,00000,225,0
1,28.58,3.54,2.0,1.0,7.0,1.0,0.5,1,0,0,1,0,00171,0,0
0,23.00,0.625,3.0,3.0,1.0,8.0,0.125,1,0,0,0,0,00180,1,0
0,?,0.5,2.0,1.0,2.0,1.0,0.835,1,0,0,1,0,00320,0,0
1,22.50,11.0,3.0,3.0,11.0,8.0,3.0,1,0,0,1,0,00268,0,0
1,28.50,1.0,2.0,1.0,11.0,8.0,1.0,1,1,2,1,0,00167,500,0
0,37.50,1.75,3.0,3.0,2.0,1.0,0.25,1,0,0,1,0,00164,400,0
0,35.25,16.5,3.0,3.0,2.0,8.0,4.0,1,0,0,0,0,00080,0,0
0,18.67,5.0,2.0,1.0,11.0,8.0,0.375,1,1,2,0,0,00000,38,0
0,25.00,12.0,2.0,1.0,9.0,8.0,2.25,1,1,2,1,0,00120,5,0
0,27.83,4.0,3.0,3.0,7.0,4.0,5.75,1,1,2,1,0,00075,0,0
0,54.83,15.5,2.0,1.0,5.0,9.0,0.0,1,1,20,0,0,00152,130,0
0,28.75,1.165,2.0,1.0,9.0,8.0,0.5,1,0,0,0,0,00280,0,0
1,25.00,11.0,3.0,3.0,1.0,8.0,4.5,1,0,0,0,0,00120,0,0
0,40.92,2.25,3.0,3.0,14.0,4.0,10.0,1,0,0,1,0,00176,0,0
1,19.75,0.75,2.0,1.0,2.0,8.0,0.795,1,1,5,1,0,00140,5,0
0,29.17,3.5,2.0,1.0,13.0,8.0,3.5,1,1,3,1,0,00329,0,0
1,24.50,1.04,3.0,3.0,6.0,3.0,0.5,1,1,3,0,0,00180,147,0
0,24.58,12.5,2.0,1.0,13.0,8.0,0.875,1,0,0,1,0,00260,0,0
1,33.75,0.75,2.0,1.0,9.0,1.0,1.0,1,1,3,1,0,00212,0,0
0,20.67,1.25,3.0,3.0,2.0,4.0,1.375,1,1,3,1,0,00140,210,0
1,25.42,1.125,2.0,1.0,11.0,8.0,1.29,1,1,2,0,0,00200,0,0
0,37.75,7.0,2.0,1.0,11.0,4.0,11.5,1,1,7,1,0,00300,5,0
0,52.50,6.5,2.0,1.0,9.0,8.0,6.29,1,1,15,0,0,00000,11202,1
0,57.83,7.04,2.0,1.0,10.0,8.0,14.0,1,1,6,1,0,00360,1332,1
1,20.75,10.335,2.0,1.0,3.0,4.0,0.335,1,1,1,1,0,00080,50,1
0,39.92,6.21,2.0,1.0,11.0,8.0,0.04,1,1,1,0,0,00200,300,1
0,25.67,12.5,2.0,1.0,3.0,8.0,1.21,1,1,67,1,0,00140,258,1
1,24.75,12.5,2.0,1.0,1.0,8.0,1.5,1,1,12,1,0,00120,567,1
1,44.17,6.665,2.0,1.0,11.0,8.0,7.375,1,1,3,1,0,00000,0,1
1,23.50,9.0,2.0,1.0,11.0,8.0,8.5,1,1,5,1,0,00120,0,1
0,34.92,5.0,2.0,1.0,14.0,4.0,7.5,1,1,6,1,0,00000,1000,1
0,47.67,2.5,2.0,1.0,10.0,1.0,2.5,1,1,12,1,0,00410,2510,1
0,22.75,11.0,2.0,1.0,11.0,8.0,2.5,1,1,7,1,0,00100,809,1
0,34.42,4.25,2.0,1.0,7.0,1.0,3.25,1,1,2,0,0,00274,610,1
1,28.42,3.5,2.0,1.0,13.0,8.0,0.835,1,0,0,0,0,00280,0,1
0,67.75,5.5,2.0,1.0,5.0,9.0,13.0,1,1,1,1,0,00000,0,1
0,20.42,1.835,2.0,1.0,2.0,8.0,2.25,1,1,1,0,0,00100,150,1
1,47.42,8.0,2.0,1.0,5.0,1.0,6.5,1,1,6,0,0,00375,51100,1
0,36.25,5.0,2.0,1.0,2.0,1.0,2.5,1,1,6,0,0,00000,367,1
0,32.67,5.5,2.0,1.0,11.0,4.0,5.5,1,1,12,1,0,00408,1000,1
0,48.58,6.5,2.0,1.0,11.0,4.0,6.0,1,0,0,1,0,00350,0,1
0,39.92,0.54,3.0,3.0,1.0,8.0,0.5,1,1,3,0,0,00200,1000,1
0,33.58,2.75,2.0,1.0,10.0,8.0,4.25,1,1,6,0,0,00204,0,1
1,18.83,9.5,2.0,1.0,13.0,8.0,1.625,1,1,6,1,0,00040,600,1
1,26.92,13.5,2.0,1.0,11.0,4.0,5.0,1,1,2,0,0,00000,5000,1
1,31.25,3.75,2.0,1.0,3.0,4.0,0.625,1,1,9,1,0,00181,0,1
1,56.50,16.0,2.0,1.0,8.0,3.0,0.0,1,1,15,0,0,00000,247,1
0,43.00,0.29,3.0,3.0,3.0,4.0,1.75,1,1,8,0,0,00100,375,1
0,22.33,11.0,2.0,1.0,13.0,8.0,2.0,1,1,1,0,0,00080,278,1
0,27.25,1.665,2.0,1.0,3.0,4.0,5.085,1,1,9,0,0,00399,827,1
0,32.83,2.5,2.0,1.0,3.0,4.0,2.75,1,1,6,0,0,00160,2072,1
0,23.25,1.5,2.0,1.0,11.0,8.0,2.375,1,1,3,1,0,00000,582,1
1,40.33,7.54,3.0,3.0,11.0,4.0,8.0,1,1,14,0,0,00000,2300,1
1,30.50,6.5,2.0,1.0,2.0,1.0,4.0,1,1,7,1,0,00000,3065,1
1,52.83,15.0,2.0,1.0,2.0,8.0,5.5,1,1,14,0,0,00000,2200,1
1,46.67,0.46,2.0,1.0,3.0,4.0,0.415,1,1,11,1,0,00440,6,1
1,58.33,10.0,2.0,1.0,11.0,8.0,4.0,1,1,14,0,0,00000,1602,1
0,37.33,6.5,2.0,1.0,10.0,4.0,4.25,1,1,12,1,0,00093,0,1
0,23.08,2.5,2.0,1.0,2.0,8.0,1.085,1,1,11,1,0,00060,2184,1
0,32.75,1.5,2.0,1.0,3.0,4.0,5.5,1,1,3,1,0,00000,0,1
1,21.67,11.5,3.0,3.0,8.0,5.0,0.0,1,1,11,1,0,00000,0,1
1,28.50,3.04,3.0,3.0,14.0,4.0,2.54,1,1,1,0,0,00070,0,1
1,68.67,15.0,2.0,1.0,5.0,9.0,0.0,1,1,14,0,0,00000,3376,1
0,28.00,2.0,2.0,1.0,9.0,4.0,4.165,1,1,2,1,0,00181,0,1
0,34.08,0.08,3.0,3.0,10.0,1.0,0.04,1,1,1,1,0,00280,2000,1
0,27.67,2.0,2.0,1.0,14.0,4.0,1.0,1,1,4,0,0,00140,7544,1
0,44.00,2.0,2.0,1.0,10.0,8.0,1.75,1,1,2,1,0,00000,15,1
0,25.08,1.71,2.0,1.0,14.0,8.0,1.665,1,1,1,1,0,00395,20,1
0,32.00,1.75,3.0,3.0,5.0,4.0,0.04,1,0,0,1,0,00393,0,1
1,60.58,16.5,2.0,1.0,11.0,8.0,11.0,1,0,0,1,0,00021,10561,1
1,40.83,10.0,2.0,1.0,11.0,4.0,1.75,1,0,0,0,0,00029,837,1
0,19.33,9.5,2.0,1.0,11.0,8.0,1.0,1,0,0,1,0,00060,400,1
1,32.33,0.54,2.0,1.0,3.0,8.0,0.04,1,0,0,0,0,00440,11177,1
0,36.67,3.25,2.0,1.0,11.0,4.0,9.0,1,0,0,1,0,00102,639,1
0,37.50,1.125,3.0,3.0,4.0,8.0,1.5,0,0,0,1,0,00431,0,1
1,25.08,2.54,3.0,3.0,1.0,8.0,0.25,1,0,0,1,0,00370,0,1
0,41.33,0.0,2.0,1.0,2.0,1.0,15.0,1,0,0,0,0,00000,0,1
0,56.00,12.5,2.0,1.0,9.0,4.0,8.0,1,0,0,1,0,00024,2028,1
1,49.83,13.585,2.0,1.0,9.0,4.0,8.5,1,0,0,1,0,00000,0,1
0,22.67,10.5,2.0,1.0,11.0,4.0,1.335,1,0,0,0,0,00100,0,1
0,27.00,1.5,3.0,3.0,13.0,8.0,0.375,1,0,0,1,0,00260,1065,1
0,25.00,12.5,2.0,1.0,1.0,8.0,3.0,1,0,0,1,0,00020,0,1
1,26.08,8.665,2.0,1.0,1.0,8.0,1.415,1,0,0,0,0,00160,150,1
1,18.42,9.25,2.0,1.0,11.0,8.0,1.21,1,1,4,0,0,00060,540,1
0,20.17,8.17,2.0,1.0,1.0,8.0,1.96,1,1,14,0,0,00060,158,1
0,47.67,0.29,2.0,1.0,2.0,1.0,15.0,1,1,20,0,0,00000,15000,1
1,21.25,2.335,2.0,1.0,7.0,1.0,0.5,1,1,4,0,0,00080,0,1
1,20.67,3.0,2.0,1.0,11.0,8.0,0.165,1,1,3,0,0,00100,6,1
1,57.08,19.5,2.0,1.0,2.0,8.0,5.5,1,1,7,0,0,00000,3000,1
1,22.42,5.665,2.0,1.0,11.0,8.0,2.585,1,1,7,0,0,00129,3257,1
0,48.75,8.5,2.0,1.0,2.0,4.0,12.5,1,1,9,0,0,00181,1655,1
0,40.00,6.5,2.0,1.0,1.0,1.0,3.5,1,1,1,0,0,00000,500,1
0,40.58,5.0,2.0,1.0,2.0,8.0,5.0,1,1,7,0,0,00000,3065,1
1,28.67,1.04,2.0,1.0,2.0,8.0,2.5,1,1,5,1,0,00300,1430,1
1,33.08,4.625,2.0,1.0,11.0,4.0,1.625,1,1,2,0,0,00000,0,1
0,21.33,10.5,2.0,1.0,2.0,8.0,3.0,1,0,0,1,0,00000,0,1
0,42.00,0.205,2.0,1.0,7.0,4.0,5.125,1,0,0,0,0,00400,0,1
0,41.75,0.96,2.0,1.0,14.0,8.0,2.5,1,0,0,0,0,00510,600,1
0,22.67,1.585,3.0,3.0,13.0,8.0,3.085,1,1,6,0,0,00080,0,1
0,34.50,4.04,3.0,3.0,7.0,1.0,8.5,1,1,7,1,0,00195,0,1
0,28.25,5.04,3.0,3.0,2.0,1.0,1.5,1,1,8,1,0,00144,7,1
0,33.17,3.165,3.0,3.0,14.0,8.0,3.165,1,1,3,1,0,00380,0,1
0,48.17,7.625,2.0,1.0,13.0,4.0,15.5,1,1,12,0,0,00000,790,1
0,27.58,2.04,3.0,3.0,1.0,8.0,2.0,1,1,3,1,0,00370,560,1
0,22.58,10.04,2.0,1.0,14.0,8.0,0.04,1,1,9,0,0,00060,396,1
1,24.08,0.5,2.0,1.0,11.0,4.0,1.25,1,1,1,0,0,00000,678,1
1,41.33,1.0,2.0,1.0,7.0,1.0,2.25,1,0,0,1,0,00000,300,1
0,24.83,2.75,2.0,1.0,2.0,8.0,2.25,1,1,6,0,0,?,600,1
1,20.75,10.25,2.0,1.0,11.0,8.0,0.71,1,1,2,1,0,00049,0,1
0,36.33,2.125,3.0,3.0,13.0,8.0,0.085,1,1,1,0,0,00050,1187,1
1,35.42,12.0,2.0,1.0,11.0,4.0,14.0,1,1,8,0,0,00000,6590,1
1,71.58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,?,0,1
0,28.67,9.335,2.0,1.0,11.0,4.0,5.665,1,1,6,0,0,00381,168,1
0,35.17,2.5,2.0,1.0,9.0,8.0,4.5,1,1,7,0,0,00150,1270,1
0,39.50,4.25,2.0,1.0,2.0,1.0,6.5,1,1,16,0,0,00117,1210,1
0,39.33,5.875,2.0,1.0,3.0,4.0,10.0,1,1,14,1,0,00399,0,1
0,24.33,6.625,3.0,3.0,4.0,8.0,5.5,1,0,0,1,0,00100,0,1
0,60.08,14.5,2.0,1.0,6.0,3.0,18.0,1,1,15,1,0,00000,1000,1
0,23.08,11.5,2.0,1.0,7.0,8.0,3.5,1,1,9,0,0,00056,742,1
0,26.67,2.71,3.0,3.0,3.0,8.0,5.25,1,1,1,0,0,00211,0,1
0,48.17,3.5,2.0,1.0,1.0,8.0,3.5,1,0,0,0,0,00230,0,1
0,41.17,4.04,2.0,1.0,3.0,4.0,7.0,1,1,8,0,0,00320,0,1
0,55.92,11.5,2.0,1.0,6.0,3.0,5.0,1,1,5,0,0,00000,8851,1
0,53.92,9.625,2.0,1.0,5.0,8.0,8.665,1,1,5,0,0,00000,0,1
1,18.92,9.25,3.0,3.0,2.0,8.0,1.0,1,1,4,1,0,00080,500,1
1,50.08,12.54,2.0,1.0,1.0,8.0,2.29,1,1,3,1,0,00156,0,1
0,65.42,11.0,2.0,1.0,5.0,9.0,20.0,1,1,7,1,0,00022,0,1
1,17.58,9.0,2.0,1.0,1.0,8.0,1.375,1,0,0,1,0,00000,0,1
1,18.83,9.54,2.0,1.0,1.0,8.0,0.085,1,0,0,0,0,00100,0,1
1,37.75,5.5,2.0,1.0,11.0,8.0,0.125,1,0,0,1,0,00228,0,1
0,23.25,4.0,2.0,1.0,2.0,1.0,0.25,1,0,0,1,0,00160,0,1
0,18.08,5.5,2.0,1.0,9.0,8.0,0.5,1,0,0,0,0,00080,0,1
1,22.50,8.46,3.0,3.0,14.0,8.0,2.46,0,0,0,0,0,00164,0,1
